province_eng,region_eng,month,year,occupancy_rate,no_tourist_occupied,no_tourist_all,no_tourist_thai,no_tourist_foreign,net_profit_all,net_profit_thai,net_profit_foreign
Amnat Charoen,east_northeast,1,2019,65.15,8551,21790,20972,818,34.51,32.64,1.87
Amnat Charoen,east_northeast,2,2019,63.3,8001,20377,19597,780,32.29,30.5,1.79
Amnat Charoen,east_northeast,3,2019,66.07,9658,24786,24093,693,39.07,37.49,1.58
Amnat Charoen,east_northeast,4,2019,59.92,7762,23792,23089,703,32.04,29.4,2.64
Amnat Charoen,east_northeast,5,2019,56.24,7296,22436,21816,620,30.11,27.78,2.33
Amnat Charoen,east_northeast,6,2019,48.85,6454,19714,19094,620,26.63,24.3,2.33
Amnat Charoen,east_northeast,7,2019,51.3,7652,20517,19749,768,21.68,19.44,2.24
Amnat Charoen,east_northeast,8,2019,41.01,6243,16708,16056,652,17.7,15.8,1.9
Amnat Charoen,east_northeast,9,2019,42.02,6886,18453,17752,701,19.5,17.47,2.03
Amnat Charoen,east_northeast,10,2019,60.44,9898,39242,38575,667,61.44,58.42,3.02
Amnat Charoen,east_northeast,11,2019,57.54,9432,37148,36356,792,58.64,55.06,3.58
Amnat Charoen,east_northeast,12,2019,65.16,10574,41764,40949,815,65.68,62.01,3.67
Amnat Charoen,east_northeast,1,2020,58.36,8260,21009,20220,789,33.02,31.29,1.73
Amnat Charoen,east_northeast,2,2020,56.73,7510,19126,18394,732,30.23,28.57,1.66
Amnat Charoen,east_northeast,3,2020,9.42,1295,3199,3117,82,4.75,4.57,0.18
Amnat Charoen,east_northeast,4,2020,0.08,11,11,11,0,0.01,0.01,0
Amnat Charoen,east_northeast,5,2020,4.93,657,657,657,0,0.67,0.67,0
Amnat Charoen,east_northeast,6,2020,10.27,1129,4098,4098,0,4.62,4.62,0
Amnat Charoen,east_northeast,7,2020,22.78,3394,9355,9355,0,8.54,8.54,0
Amnat Charoen,east_northeast,8,2020,25.3,3835,10571,10571,0,8.69,8.69,0
Amnat Charoen,east_northeast,9,2020,26.26,4239,11684,11684,0,10.96,10.96,0
Amnat Charoen,east_northeast,10,2020,30.56,4958,21185,21185,0,30.26,30.26,0
Amnat Charoen,east_northeast,11,2020,30.87,5787,24560,24560,0,35.23,35.23,0
Amnat Charoen,east_northeast,12,2020,35.68,6690,28237,28237,0,40.65,40.65,0
Amnat Charoen,east_northeast,1,2021,26.61,5002,20364,20364,0,28.54,28.54,0
Amnat Charoen,east_northeast,2,2021,28.11,5283,18061,18061,0,26.25,26.25,0
Amnat Charoen,east_northeast,3,2021,25.4,4762,15940,15940,0,23.8,23.8,0
Amnat Charoen,east_northeast,4,2021,15.58,2653,7354,7354,0,10.99,10.99,0
Amnat Charoen,east_northeast,5,2021,1.59,280,1140,1140,0,1.36,1.36,0
Amnat Charoen,east_northeast,6,2021,3.23,549,2235,2235,0,2.65,2.65,0
Amnat Charoen,east_northeast,7,2021,2.63,464,1392,1392,0,1.01,1.01,0
Amnat Charoen,east_northeast,8,2021,2.72,480,1440,1440,0,1.05,1.05,0
Amnat Charoen,east_northeast,9,2021,5.79,988,2964,2964,0,2.17,2.17,0
Amnat Charoen,east_northeast,10,2021,9.11,1607,4821,4821,0,3.54,3.54,0
Amnat Charoen,east_northeast,11,2021,17.55,3076,12411,12411,0,11.65,11.65,0
Amnat Charoen,east_northeast,12,2021,36.94,6518,26300,26300,0,26.59,26.59,0
Amnat Charoen,east_northeast,1,2022,37.36,6918,22648,22568,80,24.93,24.69,0.24
Amnat Charoen,east_northeast,2,2022,28.44,5244,17145,17107,38,17.39,17.31,0.08
Amnat Charoen,east_northeast,3,2022,24.63,4884,15971,15939,32,15.91,15.85,0.06
Amnat Charoen,east_northeast,4,2022,26.14,5405,17181,17138,43,18.25,18.16,0.09
Amnat Charoen,east_northeast,5,2022,31.93,5708,18130,18081,49,19.55,19.44,0.11
Amnat Charoen,east_northeast,6,2022,30.63,5252,16696,16587,109,18.03,17.78,0.25
Amnat Charoen,east_northeast,7,2022,33.34,5473,17393,17207,186,19.9,19.38,0.52
Amnat Charoen,east_northeast,8,2022,31.89,5412,17253,17090,163,19.04,18.62,0.42
Amnat Charoen,east_northeast,9,2022,31.46,5321,17002,16844,158,18.54,18.15,0.39
Amnat Charoen,east_northeast,10,2022,33.44,5784,19311,19041,270,20.72,20.28,0.44
Amnat Charoen,east_northeast,11,2022,34.52,6045,20325,20032,293,22,21.51,0.49
Amnat Charoen,east_northeast,12,2022,37.63,6603,22573,22176,397,24.66,24,0.66
